mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
405.0,410,400,311,0,10,0,0,0,15,0,,,,,,,,
395.0,400,390,306,0,3,0,0,0,8,0,,,,,,,,
385.0,390,380,288,0,7,0,0,0,9,0,294.4,0.2,6.8,0.0,0.0,0.0,11.8,0.0
375.0,380,370,285,1,9,0,0,0,15,0,286.0,0.2,5.8,0.0,0.0,0.0,12.6,0.0
365.0,370,360,282,0,5,0,0,0,12,0,283.8,0.2,7.0,0.0,0.0,0.0,14.0,0.0
355.0,360,350,269,0,5,0,0,0,19,0,284.6,0.2,6.6,0.0,0.0,0.0,15.0,0.0
345.0,350,340,295,0,9,0,0,0,15,0,280.8,0.0,5.8,0.0,0.0,0.0,14.0,0.0
335.0,340,330,292,0,5,0,0,0,14,0,279.0,0.0,6.0,0.0,0.0,0.0,15.6,0.0
325.0,330,320,266,0,5,0,0,0,10,0,282.0,0.0,6.0,0.0,0.0,0.0,14.0,0.0
315.0,320,310,273,0,6,0,0,0,20,0,279.6,0.0,5.2,0.0,0.0,0.0,12.2,0.0
305.0,310,300,284,0,5,0,0,0,11,0,277.4,0.0,6.2,0.0,0.0,0.0,11.4,0.0
295.0,300,290,283,0,5,0,0,0,6,0,283.8,0.0,7.8,0.0,0.0,0.0,10.8,0.0
285.0,290,280,281,0,10,0,0,0,10,0,284.2,0.0,7.8,0.0,0.0,0.0,9.8,0.0
275.0,280,270,298,0,13,0,0,0,7,0,293.4,0.0,7.6,0.0,0.0,0.0,8.8,0.0
265.0,270,260,275,0,6,0,0,0,15,0,300.6,0.0,9.0,0.0,0.0,0.0,10.8,0.0
255.0,260,250,330,0,4,0,0,0,6,0,302.2,0.0,9.0,0.0,0.0,0.0,11.6,0.0
245.0,250,240,319,0,12,0,0,0,16,0,301.8,0.0,7.6,0.0,0.0,0.0,15.2,0.0
235.0,240,230,289,0,10,0,0,0,14,0,298.6,0.0,7.6,0.0,0.0,0.0,14.6,0.0
225.0,230,220,296,0,6,0,0,0,25,0,292.4,0.0,8.6,0.0,0.0,0.0,15.6,0.4
215.0,220,210,259,0,6,0,0,0,12,0,282.0,0.0,6.8,0.0,0.0,0.0,14.6,0.4
205.0,210,200,299,0,9,0,0,0,11,2,282.4,0.0,6.0,0.0,0.0,0.0,14.6,0.4
195.0,200,190,267,0,3,0,0,0,11,0,278.6,0.0,6.4,0.0,0.0,0.0,14.8,0.4
185.0,190,180,291,0,6,0,0,0,14,0,280.4,0.0,5.6,0.0,0.0,0.0,15.2,0.4
175.0,180,170,277,0,8,0,0,0,26,0,280.0,0.0,5.2,0.0,0.0,0.0,15.6,0.0
165.0,170,160,268,0,2,0,0,0,14,0,278.6,0.0,6.4,0.0,0.0,0.0,16.8,0.0
155.0,160,150,297,0,7,0,0,0,13,0,276.0,0.0,6.6,0.0,0.0,0.0,17.0,0.0
145.0,150,140,260,0,9,0,0,0,17,0,276.2,0.0,6.4,0.0,0.0,0.0,14.4,0.0
135.0,140,130,278,0,7,0,0,0,15,0,273.8,0.0,7.2,0.0,0.0,0.0,13.6,0.0
125.0,130,120,278,0,7,0,0,0,13,0,263.2,0.0,6.8,0.0,0.0,0.0,13.0,0.0
115.0,120,110,256,0,6,0,0,0,10,0,270.2,0.0,6.6,0.0,0.0,0.0,14.6,0.0
105.0,110,100,244,0,5,0,0,0,10,0,267.0,0.0,6.8,0.0,0.0,0.0,14.2,0.0
95.0,100,90,295,0,8,0,0,0,25,0,268.8,0.0,6.4,0.0,0.0,0.0,13.6,0.0
85.0,90,80,262,0,8,0,0,0,13,0,278.8,0.0,7.4,0.0,0.0,0.0,15.0,0.0
75.0,80,70,287,0,5,0,0,0,10,0,288.0,0.0,8.2,0.0,0.0,0.0,16.8,0.0
65.0,70,60,306,0,11,0,0,0,17,0,286.6,0.0,7.4,0.0,0.0,0.0,13.2,0.0
55.0,60,50,290,0,9,0,0,0,19,0,299.4,0.0,8.2,0.0,0.0,0.0,13.6,0.0
45.0,50,40,288,0,4,0,0,0,7,0,304.4,0.0,9.0,0.0,0.0,0.0,15.2,0.0
35.0,40,30,326,0,12,0,0,0,15,0,308.2,0.0,9.4,0.0,0.0,0.0,13.4,0.0
25.0,30,20,312,0,9,0,0,0,18,0,310.8,0.0,9.4,0.0,0.0,0.0,11.4,0.0
15.0,20,10,325,0,13,0,0,0,8,0,,,,,,,,
5.0,10,0,303,0,9,0,0,0,9,0,,,,,,,,
